day,count
2017-01-01,12
2017-01-02,24
2017-01-03,44
2017-01-04,33
2017-01-05,14
2017-01-06,21
2017-01-07,24
2017-01-08,17
2017-01-09,17
2017-01-10,18
2017-01-11,26
2017-01-12,20
2017-01-13,17
2017-01-14,17
2017-01-15,11
2017-01-16,18
2017-01-17,18
2017-01-18,23
2017-01-19,12
2017-01-20,13
2017-01-21,16
2017-01-22,25
2017-01-23,19
2017-01-24,17
2017-01-25,18
2017-01-26,17
2017-01-27,18
2017-01-28,23
2017-01-29,21
2017-01-30,22
2017-01-31,18
2017-02-01,11
2017-02-02,12
2017-02-03,17
2017-02-04,10
2017-02-05,10
2017-02-06,24
2017-02-07,15
2017-02-08,17
2017-02-09,11
2017-02-10,25
2017-02-11,15
2017-02-12,26
2017-02-13,22
2017-02-14,14
2017-02-15,18
2017-02-16,18
2017-02-17,14
2017-02-18,12
2017-02-19,15
2017-02-20,13
2017-02-21,15
2017-02-22,9
2017-02-23,22
2017-02-24,18
2017-02-25,20
2017-02-26,12
2017-02-27,20
2017-02-28,30
2017-03-01,25
2017-03-02,14
2017-03-03,11
2017-03-04,14
2017-03-05,14
2017-03-06,16
2017-03-07,16
2017-03-08,14
2017-03-09,15
2017-03-10,14
2017-03-11,9
2017-03-12,9
2017-03-13,11
2017-03-14,22
2017-03-15,12
2017-03-16,13
2017-03-17,26
2017-03-18,26
2017-03-19,12
2017-03-20,17
2017-03-21,14
2017-03-22,12
2017-03-23,6
2017-03-24,10
2017-03-25,15
2017-03-26,16
2017-03-27,19
2017-03-28,14
2017-03-29,26
2017-03-30,20
2017-03-31,23
2017-04-01,11
2017-04-02,15
2017-04-03,17
2017-04-04,22
2017-04-05,20
2017-04-06,11
2017-04-07,10
2017-04-08,27
2017-04-09,11
2017-04-10,23
2017-04-11,29
2017-04-12,12
2017-04-13,19
2017-04-14,20
2017-04-15,10
2017-04-16,10
2017-04-17,26
2017-04-18,18
2017-04-19,15
2017-04-20,19
2017-04-21,7
2017-04-22,11
2017-04-23,19
2017-04-24,25
2017-04-25,14
2017-04-26,11
2017-04-27,18
2017-04-28,23
2017-04-29,25
2017-04-30,20
2017-05-01,30
2017-05-02,15
2017-05-03,15
2017-05-04,12
2017-05-05,27
2017-05-06,16
2017-05-07,11
2017-05-08,24
2017-05-09,21
2017-05-10,19
2017-05-11,36
2017-05-12,18
2017-05-13,19
2017-05-14,12
2017-05-15,11
2017-05-16,25
2017-05-17,16
2017-05-18,6
2017-05-19,22
2017-05-20,14
2017-05-21,9
2017-05-22,11
2017-05-23,14
2017-05-24,14
2017-05-25,18
2017-05-26,13
2017-05-27,13
2017-05-28,15
2017-05-29,29
2017-05-30,21
2017-05-31,12
2017-06-01,13
2017-06-02,11
2017-06-03,9
2017-06-04,10
2017-06-05,12
2017-06-06,10
2017-06-07,16
2017-06-08,17
2017-06-09,14
2017-06-10,17
2017-06-11,13
2017-06-12,17
2017-06-13,16
2017-06-14,16
2017-06-15,13
2017-06-16,10
2017-06-17,18
2017-06-18,11
2017-06-19,18
2017-06-20,18
2017-06-21,10
2017-06-22,15
2017-06-23,12
2017-06-24,10
2017-06-25,17
2017-06-26,8
2017-06-27,11
2017-06-28,8
2017-06-29,13
2017-06-30,12
2017-07-01,12
2017-07-02,14
2017-07-03,11
2017-07-04,20
2017-07-05,13
2017-07-06,24
2017-07-07,10
2017-07-08,18
2017-07-09,15
2017-07-10,13
2017-07-11,16
2017-07-12,12
2017-07-13,19
2017-07-14,18
2017-07-15,9
2017-07-16,7
2017-07-17,26
2017-07-18,30
2017-07-19,17
2017-07-20,21
2017-07-21,19
2017-07-22,13
2017-07-23,14
2017-07-24,15
2017-07-25,16
2017-07-26,16
2017-07-27,11
2017-07-28,15
2017-07-29,12
2017-07-30,19
2017-07-31,15
2017-08-01,17
2017-08-02,16
2017-08-03,13
2017-08-04,6
2017-08-05,13
2017-08-06,12
2017-08-07,16
2017-08-08,13
2017-08-09,21
2017-08-10,16
2017-08-11,14
2017-08-12,18
2017-08-13,15
2017-08-14,25
2017-08-15,19
2017-08-16,21
2017-08-17,8
2017-08-18,21
2017-08-19,13
2017-08-20,13
2017-08-21,21
2017-08-22,6
2017-08-23,10
2017-08-24,11
2017-08-25,13
2017-08-26,10
2017-08-27,18
2017-08-28,16
2017-08-29,9
2017-08-30,24
2017-08-31,15
2017-09-01,20
2017-09-02,14
2017-09-03,16
2017-09-04,22
2017-09-05,19
2017-09-06,7
2017-09-07,14
2017-09-08,65
2017-09-09,32
